county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year,county_total,party_perc
Chattahoochee County,DONALD J. TRUMP (REP),420,34,292,5,751,"November 8, 2016",2016,1390,54.02877697841727
Chattahoochee County,HILLARY CLINTON (DEM),280,29,284,1,594,"November 8, 2016",2016,1390,42.73381294964029
Chattahoochee County,GARY JOHNSON (LIB),27,2,16,0,45,"November 8, 2016",2016,1390,3.237410071942446
Chattooga County,DONALD J. TRUMP (REP),3034,144,3279,5,6462,"November 8, 2016",2016,8252,78.30828889966068
Chattooga County,HILLARY CLINTON (DEM),703,82,827,1,1613,"November 8, 2016",2016,8252,19.546776539020843
Chattooga County,GARY JOHNSON (LIB),102,6,69,0,177,"November 8, 2016",2016,8252,2.1449345613184683
Cherokee County,DONALD J. TRUMP (REP),31540,3546,45545,18,80649,"November 8, 2016",2016,110895,72.72555119707832
Cherokee County,HILLARY CLINTON (DEM),10241,1574,13410,6,25231,"November 8, 2016",2016,110895,22.752152937463364
Cherokee County,GARY JOHNSON (LIB),2772,245,1996,2,5015,"November 8, 2016",2016,110895,4.522295865458316
Clarke County,DONALD J. TRUMP (REP),5678,939,6079,21,12717,"November 8, 2016",2016,44339,28.681296375651232
Clarke County,HILLARY CLINTON (DEM),11898,1648,15991,66,29603,"November 8, 2016",2016,44339,66.76515031913213
Clarke County,GARY JOHNSON (LIB),1110,74,832,3,2019,"November 8, 2016",2016,44339,4.553553305216627
Clay County,DONALD J. TRUMP (REP),162,36,366,2,566,"November 8, 2016",2016,1271,44.531864673485444
Clay County,HILLARY CLINTON (DEM),366,69,261,1,697,"November 8, 2016",2016,1271,54.83870967741935
Clay County,GARY JOHNSON (LIB),6,0,2,0,8,"November 8, 2016",2016,1271,0.6294256490952006
Clayton County,DONALD J. TRUMP (REP),4119,889,7621,16,12645,"November 8, 2016",2016,92512,13.668497059840886
Clayton County,HILLARY CLINTON (DEM),28567,2179,47341,133,78220,"November 8, 2016",2016,92512,84.55119335869942
Clayton County,GARY JOHNSON (LIB),794,54,794,5,1647,"November 8, 2016",2016,92512,1.7803095814597028
Clinch County,DONALD J. TRUMP (REP),680,56,988,3,1727,"November 8, 2016",2016,2447,70.57621577441765
Clinch County,HILLARY CLINTON (DEM),332,30,323,1,686,"November 8, 2016",2016,2447,28.034327748263177
Clinch County,GARY JOHNSON (LIB),16,3,15,0,34,"November 8, 2016",2016,2447,1.3894564773191664
Cobb County,DONALD J. TRUMP (REP),79118,12461,61089,244,152912,"November 8, 2016",2016,327499,46.69082959031936
Cobb County,HILLARY CLINTON (DEM),75036,10124,74472,489,160121,"November 8, 2016",2016,327499,48.89205768567233
Cobb County,GARY JOHNSON (LIB),9802,934,3693,37,14466,"November 8, 2016",2016,327499,4.417112724008318
Coffee County,DONALD J. TRUMP (REP),3051,295,6242,0,9588,"November 8, 2016",2016,13915,68.90406036651096
Coffee County,HILLARY CLINTON (DEM),1642,168,2284,0,4094,"November 8, 2016",2016,13915,29.421487603305785
Coffee County,GARY JOHNSON (LIB),90,17,126,0,233,"November 8, 2016",2016,13915,1.6744520301832555
Colquitt County,DONALD J. TRUMP (REP),4968,260,4667,3,9898,"November 8, 2016",2016,13601,72.77406073082861
Colquitt County,HILLARY CLINTON (DEM),1724,176,1561,2,3463,"November 8, 2016",2016,13601,25.461363135063596
Colquitt County,GARY JOHNSON (LIB),127,12,101,0,240,"November 8, 2016",2016,13601,1.7645761341077864
Columbia County,DONALD J. TRUMP (REP),17194,1802,24070,19,43085,"November 8, 2016",2016,64242,67.06671647831637
Columbia County,HILLARY CLINTON (DEM),7328,1271,10279,9,18887,"November 8, 2016",2016,64242,29.399769621120143
Columbia County,GARY JOHNSON (LIB),1285,132,852,1,2270,"November 8, 2016",2016,64242,3.5335139005634946
Cook County,DONALD J. TRUMP (REP),1594,149,2433,0,4176,"November 8, 2016",2016,6041,69.12762787617945
Cook County,HILLARY CLINTON (DEM),910,68,775,0,1753,"November 8, 2016",2016,6041,29.01837444131766
Cook County,GARY JOHNSON (LIB),46,6,60,0,112,"November 8, 2016",2016,6041,1.8539976825028968
Coweta County,DONALD J. TRUMP (REP),18778,1892,21851,12,42533,"November 8, 2016",2016,61351,69.3273133282261
Coweta County,HILLARY CLINTON (DEM),7282,883,8411,7,16583,"November 8, 2016",2016,61351,27.029714267086113
Coweta County,GARY JOHNSON (LIB),1257,117,858,3,2235,"November 8, 2016",2016,61351,3.6429724046877805
Crawford County,DONALD J. TRUMP (REP),1615,153,1864,3,3635,"November 8, 2016",2016,5162,70.41844246416117
Crawford County,HILLARY CLINTON (DEM),598,95,726,2,1421,"November 8, 2016",2016,5162,27.52808988764045
Crawford County,GARY JOHNSON (LIB),54,4,48,0,106,"November 8, 2016",2016,5162,2.0534676481983727
Crisp County,DONALD J. TRUMP (REP),1354,205,2981,9,4549,"November 8, 2016",2016,7512,60.55644302449414
Crisp County,HILLARY CLINTON (DEM),1017,134,1684,2,2837,"November 8, 2016",2016,7512,37.76624068157615
Crisp County,GARY JOHNSON (LIB),52,10,64,0,126,"November 8, 2016",2016,7512,1.6773162939297124
Dade County,DONALD J. TRUMP (REP),2547,115,2385,4,5051,"November 8, 2016",2016,6242,80.91957705863506
Dade County,HILLARY CLINTON (DEM),434,54,477,0,965,"November 8, 2016",2016,6242,15.459788529317525
