,county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year
566,Clay County,Jo Jorgensen (Lib),5,2,0,0,7,"November 3, 2020",2020
567,Clayton County,Donald J. Trump (I) (Rep),"3,403","4,366","7,988",56,"15,813","November 3, 2020",2020
568,Clayton County,Joseph R. Biden (Dem),"16,580","27,109","51,347",440,"95,476","November 3, 2020",2020
569,Clayton County,Jo Jorgensen (Lib),343,312,397,3,"1,055","November 3, 2020",2020
570,Clinch County,Donald J. Trump (I) (Rep),618,209,"1,277",1,"2,105","November 3, 2020",2020
571,Clinch County,Joseph R. Biden (Dem),235,156,356,0,747,"November 3, 2020",2020
572,Clinch County,Jo Jorgensen (Lib),2,2,8,0,12,"November 3, 2020",2020
573,Cobb County,Donald J. Trump (I) (Rep),"37,609","50,764","76,907",179,"165,459","November 3, 2020",2020
574,Cobb County,Joseph R. Biden (Dem),"30,599","95,513","95,387",347,"221,846","November 3, 2020",2020
575,Cobb County,Jo Jorgensen (Lib),"2,157","2,320","1,952",12,"6,441","November 3, 2020",2020
576,Coffee County,Donald J. Trump (I) (Rep),"2,587",917,"7,066",8,"10,578","November 3, 2020",2020
577,Coffee County,Joseph R. Biden (Dem),"1,100",995,"2,411",5,"4,511","November 3, 2020",2020
578,Coffee County,Jo Jorgensen (Lib),41,17,67,0,125,"November 3, 2020",2020
579,Colquitt County,Donald J. Trump (I) (Rep),"4,270","1,365","6,132",10,"11,777","November 3, 2020",2020
580,Colquitt County,Joseph R. Biden (Dem),"1,108","1,199","1,877",3,"4,187","November 3, 2020",2020
581,Colquitt County,Jo Jorgensen (Lib),50,20,49,0,119,"November 3, 2020",2020
582,Columbia County,Donald J. Trump (I) (Rep),"13,300","7,023","29,643",47,"50,013","November 3, 2020",2020
583,Columbia County,Joseph R. Biden (Dem),"5,009","9,546","14,648",33,"29,236","November 3, 2020",2020
584,Columbia County,Jo Jorgensen (Lib),514,241,575,0,"1,330","November 3, 2020",2020
585,Cook County,Donald J. Trump (I) (Rep),"1,113",486,"3,301",0,"4,900","November 3, 2020",2020
586,Cook County,Joseph R. Biden (Dem),538,512,"1,008",1,"2,059","November 3, 2020",2020
587,Cook County,Jo Jorgensen (Lib),26,14,36,0,76,"November 3, 2020",2020
588,Coweta County,Donald J. Trump (I) (Rep),"18,273","9,400","23,824",4,"51,501","November 3, 2020",2020
589,Coweta County,Joseph R. Biden (Dem),"5,330","9,288","9,578",14,"24,210","November 3, 2020",2020
590,Coweta County,Jo Jorgensen (Lib),498,304,283,3,"1,088","November 3, 2020",2020
591,Crawford County,Donald J. Trump (I) (Rep),"1,152",562,"2,713",1,"4,428","November 3, 2020",2020
592,Crawford County,Joseph R. Biden (Dem),263,524,827,1,"1,615","November 3, 2020",2020
593,Crawford County,Jo Jorgensen (Lib),21,10,28,0,59,"November 3, 2020",2020
594,Crisp County,Donald J. Trump (I) (Rep),977,780,"3,227",3,"4,987","November 3, 2020",2020
595,Crisp County,Joseph R. Biden (Dem),571,886,"1,527",2,"2,986","November 3, 2020",2020
596,Crisp County,Jo Jorgensen (Lib),23,10,33,0,66,"November 3, 2020",2020
597,Dade County,Donald J. Trump (I) (Rep),"2,010",635,"3,414",7,"6,066","November 3, 2020",2020
598,Dade County,Joseph R. Biden (Dem),243,377,640,1,"1,261","November 3, 2020",2020
599,Dade County,Jo Jorgensen (Lib),51,12,44,0,107,"November 3, 2020",2020
600,Dawson County,Donald J. Trump (I) (Rep),"2,336","1,964","9,095",3,"13,398","November 3, 2020",2020
601,Dawson County,Joseph R. Biden (Dem),254,"1,051","1,181",0,"2,486","November 3, 2020",2020
602,Dawson County,Jo Jorgensen (Lib),62,44,90,1,197,"November 3, 2020",2020
603,Decatur County,Donald J. Trump (I) (Rep),"1,469",832,"4,451",6,"6,758","November 3, 2020",2020
604,Decatur County,Joseph R. Biden (Dem),788,"1,472","2,512",8,"4,780","November 3, 2020",2020
605,Decatur County,Jo Jorgensen (Lib),20,23,46,0,89,"November 3, 2020",2020
606,DeKalb County,Donald J. Trump (I) (Rep),"12,126","16,078","29,966",203,"58,373","November 3, 2020",2020
607,DeKalb County,Joseph R. Biden (Dem),"33,634","110,666","162,718","1,209","308,227","November 3, 2020",2020
608,DeKalb County,Jo Jorgensen (Lib),"1,122","1,356","1,707",19,"4,204","November 3, 2020",2020
609,Dodge County,Donald J. Trump (I) (Rep),"2,335",711,"2,793",4,"5,843","November 3, 2020",2020
610,Dodge County,Joseph R. Biden (Dem),550,580,"1,040",1,"2,171","November 3, 2020",2020
611,Dodge County,Jo Jorgensen (Lib),34,10,11,1,56,"November 3, 2020",2020
612,Dooly County,Donald J. Trump (I) (Rep),466,259,"1,431",3,"2,159","November 3, 2020",2020
613,Dooly County,Joseph R. Biden (Dem),482,476,951,2,"1,911","November 3, 2020",2020
614,Dooly County,Jo Jorgensen (Lib),10,7,18,0,35,"November 3, 2020",2020
615,Dougherty County,Donald J. Trump (I) (Rep),"4,259","2,355","3,818",22,"10,454","November 3, 2020",2020
616,Dougherty County,Joseph R. Biden (Dem),"7,317","8,052","9,124",84,"24,577","November 3, 2020",2020
617,Dougherty County,Jo Jorgensen (Lib),133,70,74,3,280,"November 3, 2020",2020
618,Douglas County,Donald J. Trump (I) (Rep),"4,863","5,434","15,139",15,"25,451","November 3, 2020",2020
619,Douglas County,Joseph R. Biden (Dem),"5,963","13,998","22,804",44,"42,809","November 3, 2020",2020
620,Douglas County,Jo Jorgensen (Lib),259,227,349,2,837,"November 3, 2020",2020
621,Early County,Donald J. Trump (I) (Rep),799,416,"1,504",3,"2,722","November 3, 2020",2020
622,Early County,Joseph R. Biden (Dem),646,684,"1,107",0,"2,437","November 3, 2020",2020
623,Early County,Jo Jorgensen (Lib),7,6,15,0,28,"November 3, 2020",2020
624,Echols County,Donald J. Trump (I) (Rep),226,121,909,0,"1,256","November 3, 2020",2020
625,Echols County,Joseph R. Biden (Dem),33,32,102,0,167,"November 3, 2020",2020
626,Echols County,Jo Jorgensen (Lib),4,3,11,0,18,"November 3, 2020",2020
627,Effingham County,Donald J. Trump (I) (Rep),"7,350","2,520","13,471",17,"23,358","November 3, 2020",2020
628,Effingham County,Joseph R. Biden (Dem),"1,752","2,333","3,623",12,"7,720","November 3, 2020",2020
629,Effingham County,Jo Jorgensen (Lib),233,92,167,0,492,"November 3, 2020",2020
630,Elbert County,Donald J. Trump (I) (Rep),"1,837",981,"3,408",0,"6,226","November 3, 2020",2020
631,Elbert County,Joseph R. Biden (Dem),529,"1,082","1,268",0,"2,879","November 3, 2020",2020
632,Elbert County,Jo Jorgensen (Lib),30,13,23,0,66,"November 3, 2020",2020
633,Emanuel County,Donald J. Trump (I) (Rep),"2,528",896,"3,126",1,"6,551","November 3, 2020",2020
634,Emanuel County,Joseph R. Biden (Dem),842,808,"1,234",0,"2,884","November 3, 2020",2020
635,Emanuel County,Jo Jorgensen (Lib),36,7,22,1,66,"November 3, 2020",2020
636,Evans County,Donald J. Trump (I) (Rep),471,491,"1,926",0,"2,888","November 3, 2020",2020
637,Evans County,Joseph R. Biden (Dem),236,347,741,0,"1,324","November 3, 2020",2020
638,Evans County,Jo Jorgensen (Lib),12,12,11,0,35,"November 3, 2020",2020
639,Fannin County,Donald J. Trump (I) (Rep),"4,163","2,253","5,730",23,"12,169","November 3, 2020",2020
640,Fannin County,Joseph R. Biden (Dem),384,"1,159","1,028",0,"2,571","November 3, 2020",2020
641,Fannin County,Jo Jorgensen (Lib),43,32,35,0,110,"November 3, 2020",2020
642,Fayette County,Donald J. Trump (I) (Rep),"6,352","7,382","24,162",56,"37,952","November 3, 2020",2020
643,Fayette County,Joseph R. Biden (Dem),"3,400","11,152","18,443",70,"33,065","November 3, 2020",2020
644,Fayette County,Jo Jorgensen (Lib),279,232,463,2,976,"November 3, 2020",2020
645,Floyd County,Donald J. Trump (I) (Rep),"7,897","4,436","16,678",112,"29,123","November 3, 2020",2020
646,Floyd County,Joseph R. Biden (Dem),"2,154","3,976","5,820",58,"12,008","November 3, 2020",2020
647,Floyd County,Jo Jorgensen (Lib),199,98,220,0,517,"November 3, 2020",2020
648,Forsyth County,Donald J. Trump (I) (Rep),"9,740","14,612","60,739",31,"85,122","November 3, 2020",2020
649,Forsyth County,Joseph R. Biden (Dem),"3,375","15,682","23,125",21,"42,203","November 3, 2020",2020
650,Forsyth County,Jo Jorgensen (Lib),415,477,"1,087",1,"1,980","November 3, 2020",2020
651,Franklin County,Donald J. Trump (I) (Rep),"2,299","1,404","5,364",2,"9,069","November 3, 2020",2020
652,Franklin County,Joseph R. Biden (Dem),348,598,647,0,"1,593","November 3, 2020",2020
653,Franklin County,Jo Jorgensen (Lib),31,25,47,0,103,"November 3, 2020",2020
654,Fulton County,Donald J. Trump (I) (Rep),"19,552","29,479","87,293",916,"137,240","November 3, 2020",2020
655,Fulton County,Joseph R. Biden (Dem),"38,143","115,788","224,688","2,525","381,144","November 3, 2020",2020
656,Fulton County,Jo Jorgensen (Lib),"1,448","1,727","3,004",96,"6,275","November 3, 2020",2020
657,Gilmer County,Donald J. Trump (I) (Rep),"4,371","2,183","6,863",12,"13,429","November 3, 2020",2020
658,Gilmer County,Joseph R. Biden (Dem),453,"1,270","1,209",0,"2,932","November 3, 2020",2020
659,Gilmer County,Jo Jorgensen (Lib),64,35,64,1,164,"November 3, 2020",2020
660,Glascock County,Donald J. Trump (I) (Rep),403,205,795,0,"1,403","November 3, 2020",2020
661,Glascock County,Joseph R. Biden (Dem),40,53,62,0,155,"November 3, 2020",2020
662,Glascock County,Jo Jorgensen (Lib),3,1,4,0,8,"November 3, 2020",2020
663,Glynn County,Donald J. Trump (I) (Rep),"4,701","4,388","16,492",35,"25,616","November 3, 2020",2020
664,Glynn County,Joseph R. Biden (Dem),"2,153","5,735","7,969",22,"15,879","November 3, 2020",2020
665,Glynn County,Jo Jorgensen (Lib),149,105,234,1,489,"November 3, 2020",2020
666,Gordon County,Donald J. Trump (I) (Rep),"6,986","2,538","9,866",15,"19,405","November 3, 2020",2020
667,Gordon County,Joseph R. Biden (Dem),"1,003","1,464","1,916",1,"4,384","November 3, 2020",2020
668,Gordon County,Jo Jorgensen (Lib),107,51,86,0,244,"November 3, 2020",2020
669,Grady County,Donald J. Trump (I) (Rep),"2,028","1,103","3,896",7,"7,034","November 3, 2020",2020
670,Grady County,Joseph R. Biden (Dem),635,"1,112","1,861",11,"3,619","November 3, 2020",2020
671,Grady County,Jo Jorgensen (Lib),25,11,18,0,54,"November 3, 2020",2020
672,Greene County,Donald J. Trump (I) (Rep),844,"1,275","4,947",2,"7,068","November 3, 2020",2020
673,Greene County,Joseph R. Biden (Dem),583,"1,532","1,965",8,"4,088","November 3, 2020",2020
674,Greene County,Jo Jorgensen (Lib),21,19,51,0,91,"November 3, 2020",2020
675,Gwinnett County,Donald J. Trump (I) (Rep),"35,271","40,396","90,472",274,"166,413","November 3, 2020",2020
676,Gwinnett County,Joseph R. Biden (Dem),"35,793","81,502","124,125",407,"241,827","November 3, 2020",2020
677,Gwinnett County,Jo Jorgensen (Lib),"1,742","1,679","2,186",18,"5,625","November 3, 2020",2020
678,Habersham County,Donald J. Trump (I) (Rep),"2,628","2,905","11,083",21,"16,637","November 3, 2020",2020
679,Habersham County,Joseph R. Biden (Dem),511,"1,315","1,733",4,"3,563","November 3, 2020",2020
680,Habersham County,Jo Jorgensen (Lib),64,42,126,0,232,"November 3, 2020",2020
681,Hall County,Donald J. Trump (I) (Rep),"11,111","12,005","40,999",55,"64,170","November 3, 2020",2020
682,Hall County,Joseph R. Biden (Dem),"3,847","9,215","11,951",18,"25,031","November 3, 2020",2020
683,Hall County,Jo Jorgensen (Lib),402,305,611,4,"1,322","November 3, 2020",2020
684,Hancock County,Donald J. Trump (I) (Rep),274,244,641,0,"1,159","November 3, 2020",2020
685,Hancock County,Joseph R. Biden (Dem),624,"1,223","1,135",3,"2,985","November 3, 2020",2020
686,Hancock County,Jo Jorgensen (Lib),10,7,4,0,21,"November 3, 2020",2020
687,Haralson County,Donald J. Trump (I) (Rep),"4,317","1,786","6,224",4,"12,331","November 3, 2020",2020
688,Haralson County,Joseph R. Biden (Dem),375,671,746,0,"1,792","November 3, 2020",2020
689,Haralson County,Jo Jorgensen (Lib),55,30,40,0,125,"November 3, 2020",2020
690,Harris County,Donald J. Trump (I) (Rep),"5,592","2,087","6,627",13,"14,319","November 3, 2020",2020
691,Harris County,Joseph R. Biden (Dem),"1,278","2,067","2,106",6,"5,457","November 3, 2020",2020
692,Harris County,Jo Jorgensen (Lib),103,62,50,0,215,"November 3, 2020",2020
693,Hart County,Donald J. Trump (I) (Rep),"2,338","1,437","5,687",2,"9,464","November 3, 2020",2020
694,Hart County,Joseph R. Biden (Dem),560,"1,128","1,467",2,"3,157","November 3, 2020",2020
695,Hart County,Jo Jorgensen (Lib),43,20,43,0,106,"November 3, 2020",2020
696,Heard County,Donald J. Trump (I) (Rep),"1,641",677,"2,197",1,"4,516","November 3, 2020",2020
697,Heard County,Joseph R. Biden (Dem),184,296,343,1,824,"November 3, 2020",2020
698,Heard County,Jo Jorgensen (Lib),21,11,19,0,51,"November 3, 2020",2020
699,Henry County,Donald J. Trump (I) (Rep),"8,143","8,134","31,879",31,"48,187","November 3, 2020",2020
700,Henry County,Joseph R. Biden (Dem),"8,191","20,858","44,156",71,"73,276","November 3, 2020",2020
701,Henry County,Jo Jorgensen (Lib),322,310,645,2,"1,279","November 3, 2020",2020
702,Houston County,Donald J. Trump (I) (Rep),"11,644","8,163","21,677",50,"41,534","November 3, 2020",2020
703,Houston County,Joseph R. Biden (Dem),"6,349","11,867","13,970",46,"32,232","November 3, 2020",2020
704,Houston County,Jo Jorgensen (Lib),422,294,339,2,"1,057","November 3, 2020",2020
705,Irwin County,Donald J. Trump (I) (Rep),655,369,"2,106",4,"3,134","November 3, 2020",2020
706,Irwin County,Joseph R. Biden (Dem),227,257,523,1,"1,008","November 3, 2020",2020
707,Irwin County,Jo Jorgensen (Lib),8,1,17,0,26,"November 3, 2020",2020
708,Jackson County,Donald J. Trump (I) (Rep),"4,961","4,395","20,135",6,"29,497","November 3, 2020",2020
709,Jackson County,Joseph R. Biden (Dem),"1,053","2,797","3,791",1,"7,642","November 3, 2020",2020
710,Jackson County,Jo Jorgensen (Lib),157,116,258,0,531,"November 3, 2020",2020
711,Jasper County,Donald J. Trump (I) (Rep),"1,547",808,"3,455",12,"5,822","November 3, 2020",2020
712,Jasper County,Joseph R. Biden (Dem),294,680,785,2,"1,761","November 3, 2020",2020
713,Jasper County,Jo Jorgensen (Lib),22,18,21,0,61,"November 3, 2020",2020
714,Jeff Davis County,Donald J. Trump (I) (Rep),"1,418",528,"2,749",0,"4,695","November 3, 2020",2020
715,Jeff Davis County,Joseph R. Biden (Dem),248,273,507,0,"1,028","November 3, 2020",2020
716,Jeff Davis County,Jo Jorgensen (Lib),18,13,17,0,48,"November 3, 2020",2020
717,Jefferson County,Donald J. Trump (I) (Rep),"1,096",446,"1,992",3,"3,537","November 3, 2020",2020
718,Jefferson County,Joseph R. Biden (Dem),"1,056","1,274","1,723",8,"4,061","November 3, 2020",2020
719,Jefferson County,Jo Jorgensen (Lib),18,6,20,0,44,"November 3, 2020",2020
720,Jenkins County,Donald J. Trump (I) (Rep),579,335,"1,244",3,"2,161","November 3, 2020",2020
721,Jenkins County,Joseph R. Biden (Dem),292,416,557,1,"1,266","November 3, 2020",2020
722,Jenkins County,Jo Jorgensen (Lib),15,5,8,0,28,"November 3, 2020",2020
723,Johnson County,Donald J. Trump (I) (Rep),771,331,"1,748",0,"2,850","November 3, 2020",2020
724,Johnson County,Joseph R. Biden (Dem),209,420,593,0,"1,222","November 3, 2020",2020
725,Johnson County,Jo Jorgensen (Lib),9,6,13,0,28,"November 3, 2020",2020
726,Jones County,Donald J. Trump (I) (Rep),"3,023","1,272","5,666",4,"9,965","November 3, 2020",2020
727,Jones County,Joseph R. Biden (Dem),841,"1,689","2,356",2,"4,888","November 3, 2020",2020
728,Jones County,Jo Jorgensen (Lib),47,18,47,1,113,"November 3, 2020",2020
729,Lamar County,Donald J. Trump (I) (Rep),"1,743",807,"3,772",8,"6,330","November 3, 2020",2020
730,Lamar County,Joseph R. Biden (Dem),472,936,"1,204",3,"2,615","November 3, 2020",2020
731,Lamar County,Jo Jorgensen (Lib),40,14,40,0,94,"November 3, 2020",2020
732,Lanier County,Donald J. Trump (I) (Rep),481,250,"1,778",0,"2,509","November 3, 2020",2020
733,Lanier County,Joseph R. Biden (Dem),204,298,517,0,"1,019","November 3, 2020",2020
734,Lanier County,Jo Jorgensen (Lib),13,10,25,0,48,"November 3, 2020",2020
735,Laurens County,Donald J. Trump (I) (Rep),"5,660","2,351","6,479",3,"14,493","November 3, 2020",2020
736,Laurens County,Joseph R. Biden (Dem),"1,884","2,735","3,451",3,"8,073","November 3, 2020",2020
737,Laurens County,Jo Jorgensen (Lib),62,38,63,0,163,"November 3, 2020",2020
738,Lee County,Donald J. Trump (I) (Rep),"3,054","1,221","7,728",4,"12,007","November 3, 2020",2020
739,Lee County,Joseph R. Biden (Dem),895,"1,243","2,418",2,"4,558","November 3, 2020",2020
740,Lee County,Jo Jorgensen (Lib),62,19,68,0,149,"November 3, 2020",2020
741,Liberty County,Donald J. Trump (I) (Rep),"1,704","1,311","4,941",3,"7,959","November 3, 2020",2020
742,Liberty County,Joseph R. Biden (Dem),"1,666","4,301","7,129",3,"13,099","November 3, 2020",2020
743,Liberty County,Jo Jorgensen (Lib),102,93,136,0,331,"November 3, 2020",2020
744,Lincoln County,Donald J. Trump (I) (Rep),904,442,"1,832",1,"3,179","November 3, 2020",2020
745,Lincoln County,Joseph R. Biden (Dem),265,628,540,2,"1,435","November 3, 2020",2020
746,Lincoln County,Jo Jorgensen (Lib),13,10,13,0,36,"November 3, 2020",2020
747,Long County,Donald J. Trump (I) (Rep),"1,126",290,"2,102",10,"3,528","November 3, 2020",2020
748,Long County,Joseph R. Biden (Dem),379,500,"1,148",6,"2,033","November 3, 2020",2020
749,Long County,Jo Jorgensen (Lib),33,14,48,0,95,"November 3, 2020",2020
750,Lowndes County,Donald J. Trump (I) (Rep),"5,351","3,379","16,795",166,"25,691","November 3, 2020",2020
751,Lowndes County,Joseph R. Biden (Dem),"2,892","5,929","11,017",279,"20,117","November 3, 2020",2020
752,Lowndes County,Jo Jorgensen (Lib),168,122,249,8,547,"November 3, 2020",2020
753,Lumpkin County,Donald J. Trump (I) (Rep),"2,002","2,022","8,138",1,"12,163","November 3, 2020",2020
754,Lumpkin County,Joseph R. Biden (Dem),332,"1,245","1,549",0,"3,126","November 3, 2020",2020
755,Lumpkin County,Jo Jorgensen (Lib),63,48,131,0,242,"November 3, 2020",2020
756,Macon County,Donald J. Trump (I) (Rep),348,139,"1,296",0,"1,783","November 3, 2020",2020
757,Macon County,Joseph R. Biden (Dem),692,706,"1,459",0,"2,857","November 3, 2020",2020
758,Macon County,Jo Jorgensen (Lib),10,2,10,0,22,"November 3, 2020",2020
759,Madison County,Donald J. Trump (I) (Rep),"3,502","1,718","6,103",3,"11,326","November 3, 2020",2020
760,Madison County,Joseph R. Biden (Dem),740,"1,192","1,478",1,"3,411","November 3, 2020",2020
761,Madison County,Jo Jorgensen (Lib),83,40,77,0,200,"November 3, 2020",2020
762,Marion County,Donald J. Trump (I) (Rep),759,295,"1,221",0,"2,275","November 3, 2020",2020
763,Marion County,Joseph R. Biden (Dem),220,471,620,0,"1,311","November 3, 2020",2020
764,Marion County,Jo Jorgensen (Lib),12,6,20,0,38,"November 3, 2020",2020
765,McDuffie County,Donald J. Trump (I) (Rep),826,898,"4,445",0,"6,169","November 3, 2020",2020
766,McDuffie County,Joseph R. Biden (Dem),600,"1,522","2,046",0,"4,168","November 3, 2020",2020
767,McDuffie County,Jo Jorgensen (Lib),40,23,55,0,118,"November 3, 2020",2020
768,McIntosh County,Donald J. Trump (I) (Rep),810,834,"2,371",1,"4,016","November 3, 2020",2020
769,McIntosh County,Joseph R. Biden (Dem),442,853,"1,317",0,"2,612","November 3, 2020",2020
770,McIntosh County,Jo Jorgensen (Lib),34,15,19,0,68,"November 3, 2020",2020
771,Meriwether County,Donald J. Trump (I) (Rep),"2,230",980,"3,312",2,"6,524","November 3, 2020",2020
772,Meriwether County,Joseph R. Biden (Dem),"1,189","1,489","1,604",5,"4,287","November 3, 2020",2020
773,Meriwether County,Jo Jorgensen (Lib),25,17,24,0,66,"November 3, 2020",2020
774,Miller County,Donald J. Trump (I) (Rep),530,264,"1,269",3,"2,066","November 3, 2020",2020
775,Miller County,Joseph R. Biden (Dem),174,221,354,0,749,"November 3, 2020",2020
776,Miller County,Jo Jorgensen (Lib),7,2,11,0,20,"November 3, 2020",2020
777,Mitchell County,Donald J. Trump (I) (Rep),"1,551",681,"2,701",2,"4,935","November 3, 2020",2020
778,Mitchell County,Joseph R. Biden (Dem),818,"1,499","1,673",5,"3,995","November 3, 2020",2020
779,Mitchell County,Jo Jorgensen (Lib),17,9,7,0,33,"November 3, 2020",2020
780,Monroe County,Donald J. Trump (I) (Rep),"3,102","1,062","6,890",6,"11,060","November 3, 2020",2020
781,Monroe County,Joseph R. Biden (Dem),690,"1,372","2,320",2,"4,384","November 3, 2020",2020
782,Monroe County,Jo Jorgensen (Lib),52,27,69,0,148,"November 3, 2020",2020
783,Montgomery County,Donald J. Trump (I) (Rep),"1,109",356,"1,495",0,"2,960","November 3, 2020",2020
784,Montgomery County,Joseph R. Biden (Dem),250,310,419,0,979,"November 3, 2020",2020
785,Montgomery County,Jo Jorgensen (Lib),12,3,12,0,27,"November 3, 2020",2020
786,Morgan County,Donald J. Trump (I) (Rep),"1,865",938,"5,424",3,"8,230","November 3, 2020",2020
787,Morgan County,Joseph R. Biden (Dem),496,"1,042","1,815",2,"3,355","November 3, 2020",2020
788,Morgan County,Jo Jorgensen (Lib),50,19,53,0,122,"November 3, 2020",2020
789,Murray County,Donald J. Trump (I) (Rep),"3,893","1,361","7,689",0,"12,943","November 3, 2020",2020
790,Murray County,Joseph R. Biden (Dem),530,679,"1,093",0,"2,302","November 3, 2020",2020
791,Murray County,Jo Jorgensen (Lib),50,22,72,0,144,"November 3, 2020",2020
792,Muscogee County,Donald J. Trump (I) (Rep),"6,527","6,399","17,106",17,"30,049","November 3, 2020",2020
793,Muscogee County,Joseph R. Biden (Dem),"6,579","17,690","25,227",33,"49,529","November 3, 2020",2020
794,Muscogee County,Jo Jorgensen (Lib),305,261,397,2,965,"November 3, 2020",2020
795,Newton County,Donald J. Trump (I) (Rep),"10,888","4,860","8,103",18,"23,869","November 3, 2020",2020
796,Newton County,Joseph R. Biden (Dem),"6,745","10,471","12,556",22,"29,794","November 3, 2020",2020
797,Newton County,Jo Jorgensen (Lib),289,158,129,0,576,"November 3, 2020",2020
798,Oconee County,Donald J. Trump (I) (Rep),"2,680","2,696","11,216",3,"16,595","November 3, 2020",2020
799,Oconee County,Joseph R. Biden (Dem),723,"2,993","4,444",2,"8,162","November 3, 2020",2020
800,Oconee County,Jo Jorgensen (Lib),113,76,222,0,411,"November 3, 2020",2020
801,Oglethorpe County,Donald J. Trump (I) (Rep),"1,061",946,"3,584",2,"5,593","November 3, 2020",2020
802,Oglethorpe County,Joseph R. Biden (Dem),417,868,"1,150",1,"2,436","November 3, 2020",2020
803,Oglethorpe County,Jo Jorgensen (Lib),26,28,47,1,102,"November 3, 2020",2020
804,Paulding County,Donald J. Trump (I) (Rep),"9,710","9,582","35,174",59,"54,525","November 3, 2020",2020
805,Paulding County,Joseph R. Biden (Dem),"3,763","10,525","15,376",40,"29,704","November 3, 2020",2020
806,Paulding County,Jo Jorgensen (Lib),327,278,550,1,"1,156","November 3, 2020",2020
807,Peach County,Donald J. Trump (I) (Rep),954,810,"4,728",10,"6,502","November 3, 2020",2020
808,Peach County,Joseph R. Biden (Dem),809,"1,741","3,364",6,"5,920","November 3, 2020",2020
809,Peach County,Jo Jorgensen (Lib),44,12,66,1,123,"November 3, 2020",2020
810,Pickens County,Donald J. Trump (I) (Rep),"5,994","1,786","6,287",8,"14,075","November 3, 2020",2020
811,Pickens County,Joseph R. Biden (Dem),645,"1,119","1,044",0,"2,808","November 3, 2020",2020
812,Pickens County,Jo Jorgensen (Lib),135,34,64,0,233,"November 3, 2020",2020
813,Pierce County,Donald J. Trump (I) (Rep),"1,208",923,"5,768",0,"7,899","November 3, 2020",2020
814,Pierce County,Joseph R. Biden (Dem),122,368,610,0,"1,100","November 3, 2020",2020
815,Pierce County,Jo Jorgensen (Lib),14,6,29,0,49,"November 3, 2020",2020
816,Pike County,Donald J. Trump (I) (Rep),"2,341",919,"5,864",3,"9,127","November 3, 2020",2020
817,Pike County,Joseph R. Biden (Dem),285,523,695,2,"1,505","November 3, 2020",2020
818,Pike County,Jo Jorgensen (Lib),27,20,41,0,88,"November 3, 2020",2020
819,Polk County,Donald J. Trump (I) (Rep),"2,849","1,707","9,021",12,"13,589","November 3, 2020",2020
820,Polk County,Joseph R. Biden (Dem),607,"1,088","1,957",6,"3,658","November 3, 2020",2020
821,Polk County,Jo Jorgensen (Lib),58,24,67,3,152,"November 3, 2020",2020
822,Pulaski County,Donald J. Trump (I) (Rep),336,313,"2,155",1,"2,805","November 3, 2020",2020
823,Pulaski County,Joseph R. Biden (Dem),165,337,715,0,"1,217","November 3, 2020",2020
824,Pulaski County,Jo Jorgensen (Lib),10,9,18,0,37,"November 3, 2020",2020
825,Putnam County,Donald J. Trump (I) (Rep),"1,547","1,760","4,983",1,"8,291","November 3, 2020",2020
826,Putnam County,Joseph R. Biden (Dem),470,"1,478","1,500",0,"3,448","November 3, 2020",2020
827,Putnam County,Jo Jorgensen (Lib),35,34,47,0,116,"November 3, 2020",2020
828,Quitman County,Donald J. Trump (I) (Rep),163,88,353,0,604,"November 3, 2020",2020
829,Quitman County,Joseph R. Biden (Dem),163,137,196,1,497,"November 3, 2020",2020
830,Quitman County,Jo Jorgensen (Lib),3,1,1,0,5,"November 3, 2020",2020
831,Rabun County,Donald J. Trump (I) (Rep),"1,207","1,663","4,604",0,"7,474","November 3, 2020",2020
832,Rabun County,Joseph R. Biden (Dem),199,888,897,0,"1,984","November 3, 2020",2020
833,Rabun County,Jo Jorgensen (Lib),28,33,49,0,110,"November 3, 2020",2020
834,Randolph County,Donald J. Trump (I) (Rep),321,214,856,0,"1,391","November 3, 2020",2020
835,Randolph County,Joseph R. Biden (Dem),402,464,802,3,"1,671","November 3, 2020",2020
836,Randolph County,Jo Jorgensen (Lib),6,2,4,0,12,"November 3, 2020",2020
837,Richmond County,Donald J. Trump (I) (Rep),"8,584","6,233","11,931",33,"26,781","November 3, 2020",2020
838,Richmond County,Joseph R. Biden (Dem),"11,843","21,348","25,780",153,"59,124","November 3, 2020",2020
839,Richmond County,Jo Jorgensen (Lib),428,322,359,2,"1,111","November 3, 2020",2020
840,Rockdale County,Donald J. Trump (I) (Rep),"2,526","3,005","7,466",15,"13,012","November 3, 2020",2020
841,Rockdale County,Joseph R. Biden (Dem),"3,543","9,429","18,248",24,"31,244","November 3, 2020",2020
842,Rockdale County,Jo Jorgensen (Lib),126,115,189,0,430,"November 3, 2020",2020
843,Schley County,Donald J. Trump (I) (Rep),304,154,"1,341",1,"1,800","November 3, 2020",2020
844,Schley County,Joseph R. Biden (Dem),65,157,240,0,462,"November 3, 2020",2020
845,Schley County,Jo Jorgensen (Lib),4,3,6,0,13,"November 3, 2020",2020
846,Screven County,Donald J. Trump (I) (Rep),"1,260",505,"2,140",11,"3,916","November 3, 2020",2020
847,Screven County,Joseph R. Biden (Dem),601,789,"1,264",7,"2,661","November 3, 2020",2020
848,Screven County,Jo Jorgensen (Lib),24,5,22,0,51,"November 3, 2020",2020
