,county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year
137,Dooly County,GARY JOHNSON (LIB),19,4,12,1,36,"November 8, 2016",2016
138,Dougherty County,DONALD J. TRUMP (REP),"5,917",514,"3,796",5,"10,232","November 8, 2016",2016
139,Dougherty County,HILLARY CLINTON (DEM),"11,877","1,063","10,289",82,"23,311","November 8, 2016",2016
140,Dougherty County,GARY JOHNSON (LIB),306,31,137,1,475,"November 8, 2016",2016
141,Douglas County,DONALD J. TRUMP (REP),"7,655","1,198","15,952",12,"24,817","November 8, 2016",2016
142,Douglas County,HILLARY CLINTON (DEM),"10,769","1,148","19,059",29,"31,005","November 8, 2016",2016
143,Douglas County,GARY JOHNSON (LIB),737,63,794,0,"1,594","November 8, 2016",2016
144,Early County,DONALD J. TRUMP (REP),"1,093",140,"1,319",0,"2,552","November 8, 2016",2016
145,Early County,HILLARY CLINTON (DEM),"1,087",213,867,1,"2,168","November 8, 2016",2016
146,Early County,GARY JOHNSON (LIB),34,7,24,0,65,"November 8, 2016",2016
147,Echols County,DONALD J. TRUMP (REP),395,38,574,0,"1,007","November 8, 2016",2016
148,Echols County,HILLARY CLINTON (DEM),62,2,92,0,156,"November 8, 2016",2016
149,Echols County,GARY JOHNSON (LIB),6,1,6,0,13,"November 8, 2016",2016
150,Effingham County,DONALD J. TRUMP (REP),"8,084",432,"9,351",7,"17,874","November 8, 2016",2016
151,Effingham County,HILLARY CLINTON (DEM),"2,360",213,"2,279",1,"4,853","November 8, 2016",2016
152,Effingham County,GARY JOHNSON (LIB),399,24,256,0,679,"November 8, 2016",2016
153,Elbert County,DONALD J. TRUMP (REP),"1,979",272,"3,018",23,"5,292","November 8, 2016",2016
154,Elbert County,HILLARY CLINTON (DEM),892,194,"1,421",32,"2,539","November 8, 2016",2016
155,Elbert County,GARY JOHNSON (LIB),62,13,61,3,139,"November 8, 2016",2016
156,Emanuel County,DONALD J. TRUMP (REP),"2,776",217,"2,337",5,"5,335","November 8, 2016",2016
157,Emanuel County,HILLARY CLINTON (DEM),"1,326",114,993,2,"2,435","November 8, 2016",2016
158,Emanuel County,GARY JOHNSON (LIB),40,4,31,0,75,"November 8, 2016",2016
159,Evans County,DONALD J. TRUMP (REP),675,122,"1,607",0,"2,404","November 8, 2016",2016
160,Evans County,HILLARY CLINTON (DEM),410,60,660,0,"1,130","November 8, 2016",2016
161,Evans County,GARY JOHNSON (LIB),26,3,39,0,68,"November 8, 2016",2016
162,Fannin County,DONALD J. TRUMP (REP),"4,326",621,"4,676",9,"9,632","November 8, 2016",2016
163,Fannin County,HILLARY CLINTON (DEM),634,204,"1,082",3,"1,923","November 8, 2016",2016
164,Fannin County,GARY JOHNSON (LIB),107,20,95,0,222,"November 8, 2016",2016
165,Fayette County,DONALD J. TRUMP (REP),"10,790","1,625","22,626",7,"35,048","November 8, 2016",2016
166,Fayette County,HILLARY CLINTON (DEM),"6,724","1,156","15,389",15,"23,284","November 8, 2016",2016
167,Fayette County,GARY JOHNSON (LIB),965,134,"1,004",0,"2,103","November 8, 2016",2016
168,Floyd County,DONALD J. TRUMP (REP),"9,959",778,"13,308",69,"24,114","November 8, 2016",2016
169,Floyd County,HILLARY CLINTON (DEM),"3,551",523,"5,053",32,"9,159","November 8, 2016",2016
170,Floyd County,GARY JOHNSON (LIB),539,54,485,6,"1,084","November 8, 2016",2016
171,Forsyth County,DONALD J. TRUMP (REP),"17,334","2,579","49,914",24,"69,851","November 8, 2016",2016
172,Forsyth County,HILLARY CLINTON (DEM),"6,509","1,253","15,686",14,"23,462","November 8, 2016",2016
173,Forsyth County,GARY JOHNSON (LIB),"1,528",191,"2,369",3,"4,091","November 8, 2016",2016
174,Franklin County,DONALD J. TRUMP (REP),"3,332",316,"3,406",0,"7,054","November 8, 2016",2016
175,Franklin County,HILLARY CLINTON (DEM),633,87,523,0,"1,243","November 8, 2016",2016
176,Franklin County,GARY JOHNSON (LIB),110,11,56,0,177,"November 8, 2016",2016
177,Fulton County,DONALD J. TRUMP (REP),"40,253","7,198","70,143",189,"117,783","November 8, 2016",2016
178,Fulton County,HILLARY CLINTON (DEM),"104,280","14,136","177,683",952,"297,051","November 8, 2016",2016
179,Fulton County,GARY JOHNSON (LIB),"7,605",783,"7,332",45,"15,765","November 8, 2016",2016
180,Gilmer County,DONALD J. TRUMP (REP),"4,440",515,"5,511",11,"10,477","November 8, 2016",2016
181,Gilmer County,HILLARY CLINTON (DEM),691,149,"1,121",4,"1,965","November 8, 2016",2016
182,Gilmer County,GARY JOHNSON (LIB),140,12,141,0,293,"November 8, 2016",2016
183,Glascock County,DONALD J. TRUMP (REP),532,59,644,0,"1,235","November 8, 2016",2016
184,Glascock County,HILLARY CLINTON (DEM),75,15,48,0,138,"November 8, 2016",2016
185,Glascock County,GARY JOHNSON (LIB),10,1,6,0,17,"November 8, 2016",2016
186,Glynn County,DONALD J. TRUMP (REP),"8,969",811,"11,702",30,"21,512","November 8, 2016",2016
187,Glynn County,HILLARY CLINTON (DEM),"4,685",747,"6,309",34,"11,775","November 8, 2016",2016
188,Glynn County,GARY JOHNSON (LIB),469,41,313,2,825,"November 8, 2016",2016
189,Gordon County,DONALD J. TRUMP (REP),"7,142",424,"7,608",17,"15,191","November 8, 2016",2016
190,Gordon County,HILLARY CLINTON (DEM),"1,432",157,"1,587",5,"3,181","November 8, 2016",2016
191,Gordon County,GARY JOHNSON (LIB),286,19,199,3,507,"November 8, 2016",2016
192,Grady County,DONALD J. TRUMP (REP),"2,588",180,"3,279",6,"6,053","November 8, 2016",2016
193,Grady County,HILLARY CLINTON (DEM),"1,199",107,"1,699",8,"3,013","November 8, 2016",2016
194,Grady County,GARY JOHNSON (LIB),83,8,44,0,135,"November 8, 2016",2016
195,Greene County,DONALD J. TRUMP (REP),"1,435",260,"3,793",2,"5,490","November 8, 2016",2016
196,Greene County,HILLARY CLINTON (DEM),"1,171",391,"1,633",4,"3,199","November 8, 2016",2016
197,Greene County,GARY JOHNSON (LIB),52,10,88,1,151,"November 8, 2016",2016
198,Gwinnett County,DONALD J. TRUMP (REP),"71,967","10,197","64,325",500,"146,989","November 8, 2016",2016
199,Gwinnett County,HILLARY CLINTON (DEM),"77,090","7,498","80,576",989,"166,153","November 8, 2016",2016
200,Gwinnett County,GARY JOHNSON (LIB),"7,904",730,"3,780",80,"12,494","November 8, 2016",2016
201,Habersham County,DONALD J. TRUMP (REP),"2,545",744,"9,898",3,"13,190","November 8, 2016",2016
202,Habersham County,HILLARY CLINTON (DEM),592,203,"1,688",0,"2,483","November 8, 2016",2016
203,Habersham County,GARY JOHNSON (LIB),183,28,250,0,461,"November 8, 2016",2016
204,Hall County,DONALD J. TRUMP (REP),"23,488","2,422","25,781",42,"51,733","November 8, 2016",2016
205,Hall County,HILLARY CLINTON (DEM),"7,161","1,081","7,920",18,"16,180","November 8, 2016",2016
206,Hall County,GARY JOHNSON (LIB),"1,380",124,798,5,"2,307","November 8, 2016",2016
207,Hancock County,DONALD J. TRUMP (REP),390,43,408,2,843,"November 8, 2016",2016
208,Hancock County,HILLARY CLINTON (DEM),"1,361",303,"1,031",6,"2,701","November 8, 2016",2016
209,Hancock County,GARY JOHNSON (LIB),21,2,13,0,36,"November 8, 2016",2016
210,Haralson County,DONALD J. TRUMP (REP),"4,743",331,"4,505",6,"9,585","November 8, 2016",2016
211,Haralson County,HILLARY CLINTON (DEM),715,109,650,1,"1,475","November 8, 2016",2016
212,Haralson County,GARY JOHNSON (LIB),151,12,101,0,264,"November 8, 2016",2016
213,Harris County,DONALD J. TRUMP (REP),"5,029",457,"6,449",1,"11,936","November 8, 2016",2016
