county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Dawson County,Kamala D. Harris (Dem),"2,521",476,352,1,"3,350"
Dawson County,Chase Oliver (Lib),48,15,3,0,66
Dawson County,Jill Stein (Grn),20,10,0,0,30
Decatur County,Donald J. Trump (Rep),"4,975","1,888",273,4,"7,140"
Decatur County,Kamala D. Harris (Dem),"2,731","1,251",386,4,"4,372"
Decatur County,Chase Oliver (Lib),5,14,3,0,22
Decatur County,Jill Stein (Grn),9,6,0,0,15
DeKalb County,Donald J. Trump (Rep),"42,220","17,292","3,070",40,"62,622"
DeKalb County,Kamala D. Harris (Dem),"225,667","54,411","19,346",206,"299,630"
DeKalb County,Chase Oliver (Lib),841,628,87,1,"1,557"
DeKalb County,Jill Stein (Grn),"1,197",872,126,4,"2,199"
Dodge County,Donald J. Trump (Rep),"3,751","2,254",241,3,"6,249"
Dodge County,Kamala D. Harris (Dem),"1,209",710,162,0,"2,081"
Dodge County,Chase Oliver (Lib),5,8,0,0,13
Dodge County,Jill Stein (Grn),3,4,0,0,7
Dooly County,Donald J. Trump (Rep),"1,514",669,60,0,"2,243"
Dooly County,Kamala D. Harris (Dem),"1,049",708,162,2,"1,921"
Dooly County,Chase Oliver (Lib),4,1,2,0,7
Dooly County,Jill Stein (Grn),4,2,0,0,6
Dougherty County,Donald J. Trump (Rep),"5,560","3,857",483,4,"9,904"
Dougherty County,Kamala D. Harris (Dem),"13,639","8,576","1,598",18,"23,831"
Dougherty County,Chase Oliver (Lib),30,29,4,0,63
Dougherty County,Jill Stein (Grn),15,29,8,0,52
Douglas County,Donald J. Trump (Rep),"17,796","5,350",836,14,"23,996"
Douglas County,Kamala D. Harris (Dem),"34,018","9,677","2,520",25,"46,240"
Douglas County,Chase Oliver (Lib),127,94,12,0,233
Douglas County,Jill Stein (Grn),147,89,16,0,252
Early County,Donald J. Trump (Rep),"1,809",798,111,0,"2,718"
Early County,Kamala D. Harris (Dem),"1,185",811,161,1,"2,158"
Early County,Chase Oliver (Lib),0,1,0,0,1
Early County,Jill Stein (Grn),1,1,0,0,2
Echols County,Donald J. Trump (Rep),"1,014",261,31,1,"1,307"
Echols County,Kamala D. Harris (Dem),98,27,2,0,127
Echols County,Chase Oliver (Lib),1,0,0,0,1
Echols County,Jill Stein (Grn),2,0,1,0,3
Effingham County,Donald J. Trump (Rep),"17,453","8,886",589,15,"26,943"
Effingham County,Kamala D. Harris (Dem),"5,384","3,015",744,1,"9,144"
Effingham County,Chase Oliver (Lib),48,58,5,0,111
Effingham County,Jill Stein (Grn),18,25,2,1,46
Elbert County,Donald J. Trump (Rep),"4,474","2,188",192,6,"6,860"
Elbert County,Kamala D. Harris (Dem),"1,675",753,267,5,"2,700"
Elbert County,Chase Oliver (Lib),6,11,2,0,19
Elbert County,Jill Stein (Grn),3,7,0,0,10
Emanuel County,Donald J. Trump (Rep),"3,848","2,899",163,9,"6,919"
Emanuel County,Kamala D. Harris (Dem),"1,403","1,073",193,4,"2,673"
Emanuel County,Chase Oliver (Lib),11,10,1,0,22
Emanuel County,Jill Stein (Grn),2,3,0,0,5
Evans County,Donald J. Trump (Rep),"2,244",634,132,1,"3,011"
Evans County,Kamala D. Harris (Dem),770,306,137,1,"1,214"
Evans County,Chase Oliver (Lib),7,5,0,0,12
Evans County,Jill Stein (Grn),6,1,0,0,7
Fannin County,Donald J. Trump (Rep),"8,652","3,885",672,23,"13,232"
Fannin County,Kamala D. Harris (Dem),"1,886",586,332,3,"2,807"
Fannin County,Chase Oliver (Lib),22,21,1,0,44
Fannin County,Jill Stein (Grn),7,6,0,0,13
Fayette County,Donald J. Trump (Rep),"29,804","6,724","1,644",5,"38,177"
Fayette County,Kamala D. Harris (Dem),"27,532","5,611","2,672",7,"35,822"
Fayette County,Chase Oliver (Lib),224,139,14,0,377
Fayette County,Jill Stein (Grn),159,80,18,0,257
Floyd County,Donald J. Trump (Rep),"22,173","8,448",976,34,"31,631"
Floyd County,Kamala D. Harris (Dem),"8,608","3,194","1,037",23,"12,862"
Floyd County,Chase Oliver (Lib),93,66,8,0,167
Floyd County,Jill Stein (Grn),40,37,1,0,78
Forsyth County,Donald J. Trump (Rep),"73,485","14,062","3,686",48,"91,281"
Forsyth County,Kamala D. Harris (Dem),"33,929","7,477","4,075",28,"45,509"
Forsyth County,Chase Oliver (Lib),433,237,31,0,701
Forsyth County,Jill Stein (Grn),462,266,29,1,758
Franklin County,Donald J. Trump (Rep),"7,187","2,983",286,3,"10,459"
Franklin County,Kamala D. Harris (Dem),"1,014",494,139,0,"1,647"
Franklin County,Chase Oliver (Lib),12,12,1,0,25
Franklin County,Jill Stein (Grn),7,1,1,0,9
Fulton County,Donald J. Trump (Rep),"112,454","25,789","6,280",132,"144,655"
Fulton County,Kamala D. Harris (Dem),"297,293","64,475","22,497",487,"384,752"
Fulton County,Chase Oliver (Lib),"1,512",870,123,2,"2,507"
Fulton County,Jill Stein (Grn),"2,073","1,073",171,7,"3,324"
Gilmer County,Donald J. Trump (Rep),"10,200","4,172",565,39,"14,976"
Gilmer County,Kamala D. Harris (Dem),"2,260",767,369,17,"3,413"
Gilmer County,Chase Oliver (Lib),32,42,1,0,75
Gilmer County,Jill Stein (Grn),7,10,0,0,17
Glascock County,Donald J. Trump (Rep),"1,030",458,46,0,"1,534"
Glascock County,Kamala D. Harris (Dem),75,44,14,0,133
Glascock County,Chase Oliver (Lib),2,0,1,0,3
Glascock County,Jill Stein (Grn),0,0,0,0,0
Glynn County,Donald J. Trump (Rep),"21,608","4,866","1,075",9,"27,558"
Glynn County,Kamala D. Harris (Dem),"11,169","3,332","1,630",13,"16,144"
Glynn County,Chase Oliver (Lib),69,43,12,0,124
Glynn County,Jill Stein (Grn),48,29,9,0,86
Gordon County,Donald J. Trump (Rep),"14,503","7,368",614,10,"22,495"
Gordon County,Kamala D. Harris (Dem),"3,084","1,568",326,4,"4,982"
Gordon County,Chase Oliver (Lib),52,38,4,0,94
Gordon County,Jill Stein (Grn),18,14,3,0,35
Grady County,Donald J. Trump (Rep),"4,926","2,199",260,0,"7,385"
Grady County,Kamala D. Harris (Dem),"2,051",911,326,2,"3,290"
Grady County,Chase Oliver (Lib),17,13,1,0,31
Grady County,Jill Stein (Grn),5,6,1,0,12
