county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Turner County,Donald J. Trump (I) (Rep),377,233,"1,738",1,"2,349"
Turner County,Joseph R. Biden (Dem),332,289,788,1,"1,410"
Turner County,Jo Jorgensen (Lib),6,5,22,0,33
Twiggs County,Donald J. Trump (I) (Rep),841,310,"1,219",0,"2,370"
Twiggs County,Joseph R. Biden (Dem),426,736,878,4,"2,044"
Twiggs County,Jo Jorgensen (Lib),15,7,8,0,30
Union County,Donald J. Trump (I) (Rep),"3,400","2,232","7,008",11,"12,651"
Union County,Joseph R. Biden (Dem),300,"1,303","1,198",0,"2,801"
Union County,Jo Jorgensen (Lib),49,23,36,0,108
Upson County,Donald J. Trump (I) (Rep),"1,364","1,175","6,063",6,"8,608"
Upson County,Joseph R. Biden (Dem),646,"1,572","1,983",0,"4,201"
Upson County,Jo Jorgensen (Lib),28,20,48,0,96
Walker County,Donald J. Trump (I) (Rep),"5,560","3,517","14,089",8,"23,174"
Walker County,Joseph R. Biden (Dem),994,"2,206","2,567",2,"5,769"
Walker County,Jo Jorgensen (Lib),162,76,173,0,411
Walton County,Donald J. Trump (I) (Rep),"9,202","6,031","22,594",15,"37,842"
Walton County,Joseph R. Biden (Dem),"2,145","4,254","6,272",11,"12,682"
Walton County,Jo Jorgensen (Lib),225,111,235,0,571
Ware County,Donald J. Trump (I) (Rep),"2,577","1,368","5,900",20,"9,865"
Ware County,Joseph R. Biden (Dem),563,"1,556","2,066",26,"4,211"
Ware County,Jo Jorgensen (Lib),46,17,52,1,116
Warren County,Donald J. Trump (I) (Rep),190,205,771,0,"1,166"
Warren County,Joseph R. Biden (Dem),297,540,632,0,"1,469"
Warren County,Jo Jorgensen (Lib),6,1,9,0,16
Washington County,Donald J. Trump (I) (Rep),"1,481",719,"2,458",5,"4,663"
Washington County,Joseph R. Biden (Dem),"1,071","1,811","1,843",5,"4,730"
Washington County,Jo Jorgensen (Lib),25,14,27,0,66
Wayne County,Donald J. Trump (I) (Rep),"2,495","1,354","6,131",7,"9,987"
Wayne County,Joseph R. Biden (Dem),460,736,"1,489",2,"2,687"
Wayne County,Jo Jorgensen (Lib),35,16,53,0,104
Webster County,Donald J. Trump (I) (Rep),139,121,488,0,748
Webster County,Joseph R. Biden (Dem),142,227,270,0,639
Webster County,Jo Jorgensen (Lib),0,2,1,0,3
Wheeler County,Donald J. Trump (I) (Rep),438,202,943,0,"1,583"
Wheeler County,Joseph R. Biden (Dem),197,195,297,0,689
Wheeler County,Jo Jorgensen (Lib),5,1,7,0,13
White County,Donald J. Trump (I) (Rep),"3,448","2,088","6,680",6,"12,222"
White County,Joseph R. Biden (Dem),372,973,"1,066",0,"2,411"
White County,Jo Jorgensen (Lib),80,27,76,0,183
Whitfield County,Donald J. Trump (I) (Rep),"8,963","3,544","13,084",45,"25,636"
Whitfield County,Joseph R. Biden (Dem),"2,814","2,840","4,997",19,"10,670"
Whitfield County,Jo Jorgensen (Lib),194,84,162,0,440
Wilcox County,Donald J. Trump (I) (Rep),743,343,"1,317",0,"2,403"
Wilcox County,Joseph R. Biden (Dem),285,212,365,0,862
Wilcox County,Jo Jorgensen (Lib),8,2,6,0,16
Wilkes County,Donald J. Trump (I) (Rep),704,467,"1,649",3,"2,823"
Wilkes County,Joseph R. Biden (Dem),504,755,897,4,"2,160"
